OBJECTID,CUSTOMER_I,POSTAL_ARE,FULL_POSTA,REC_TYPE,GEO_LEVEL,NT_CITY,COUNTY,STATE,DISPLAY_LI,ROUTING_LI,DISPLAY_LA,DISPLAY_LO,ROUTING_LA,ROUTING_LO,HOUSE_NUMB,BUILDING_N,STREET_NAM,TMO_STREET,HDB,NEAR_FID,NEAR_DIST,NEAR_X,NEAR_Y,is_outlier,Longitude,Latitude,Distance to Nearest POI (m),Distance to Nearest Street (m),Number of POIs within 500m,Distance to Area Centroid (m),z_score_outlier,iqr_outlier,dbscan_outlier,lof_outlier,cluster,Anomaly Score (%),Confidence in Classification,POI Classification,Reasons for Classification
76403,177940.0,,408576.0,S,8.0,SINGAPORE,SINGAPORE,,940042376.0,940042376.0,1.32701,103.89448,1.32681,103.89452,17,TRIPLE ELECTRONIC,UBI CRES,UBI CRES,N,844,0.001326,103.8934,1.3261,True,103.89452,1.32681,0.003902,0.000354,2999,0.047479,False,True,False,True,0,45.00%,Medium,INCORRECT,Isolated from other POIs
1044,178424.0,,619034.0,S,8.0,SINGAPORE,SINGAPORE,,116130763.0,116130763.0,1.32737,103.7117,1.3278,103.71165,17,PEX INTERNATIONAL,LINK RD,LINK RD,N,211,0.001963,103.7134,1.32691,True,103.71165,1.3278,0.003968,0.00313,2999,0.137304,True,True,False,False,4,60.00%,Medium,INCORRECT,Far from streets; Isolated from other POIs
74732,236833.0,,788099.0,S,8.0,SINGAPORE,SINGAPORE,,939885958.0,939885958.0,1.39829,103.82527,1.39834,103.82527,5,SPRINGLEAF GARDEN,SPRINGLEAF HTS,SPRINGLEAF HTS,N,1403,0.001086,103.8244,1.39769,True,103.82527,1.39834,0.00012,0.002977,2999,0.064108,True,True,False,False,10,60.00%,Medium,INCORRECT,Far from streets
96351,235152.0,,689479.0,S,9.0,SINGAPORE,SINGAPORE,,717891968.0,718221231.0,1.37601,103.7353,1.37601,103.7353,339,,CHOA CHU KANG AVE 3,CHOA CHU KANG AVE 3,N,-1,-1.0,-1.0,-1.0,True,103.7353,1.37601,0.002906,0.000591,2999,0.119248,False,True,False,True,8,45.00%,Medium,INCORRECT,Normal spatial pattern
56363,174354.0,,639490.0,S,8.0,SINGAPORE,SINGAPORE,,905381641.0,905381641.0,1.321,103.65869,1.32072,103.65903,5,FOUNDATION ASSOCIATES ENGINEERING,TUAS AVE 1,TUAS AVE 1,N,371,0.004124,103.6553,1.31896,True,103.65903,1.32072,0.001791,0.001559,2999,0.19034,True,True,False,False,14,45.00%,Medium,INCORRECT,Normal spatial pattern
37939,193325.0,,640903.0,S,8.0,SINGAPORE,SINGAPORE,,718163398.0,718163398.0,1.33974,103.68603,1.3397,103.68633,903,,JURONG WEST ST 91,JURONG WEST ST 91,Y,881,0.000751,103.68708,1.33974,True,103.68633,1.3397,0.004532,0.000292,2999,0.162202,True,True,False,False,4,45.00%,Medium,INCORRECT,Isolated from other POIs
40811,250054.0,,768271.0,S,8.0,SINGAPORE,SINGAPORE,,762719842.0,762719843.0,1.41726,103.8473,1.41726,103.8473,170,SHAUGHNESSY,MILTONIA CLOS,MILTONIA CLOS,N,-1,-1.0,-1.0,-1.0,True,103.8473,1.41726,3e-05,0.003519,2999,0.078669,True,True,False,False,18,60.00%,Medium,INCORRECT,Far from streets
54353,139603.0,,637836.0,S,8.0,SINGAPORE,SINGAPORE,,901417286.0,901417286.0,1.2933,103.62384,1.29336,103.62386,50,LEONG SIEW WENG ENGINEERING,TUAS SOUTH ST 5,TUAS SOUTH ST 5,N,4381,0.006997,103.6293,1.29776,True,103.62386,1.29336,8.5e-05,0.000636,2999,0.229178,True,True,True,False,-1,75.00%,High,INCORRECT,Spatial clustering outlier
108559,247864.0,,730545.0,S,9.0,SINGAPORE,SINGAPORE,,914305459.0,718050881.0,1.42926,103.79356,1.42887,103.79381,545,,WOODLANDS DR 16,WOODLANDS DR 16,Y,1030,0.00145,103.7938,1.42742,True,103.79381,1.42887,0.004082,0.000211,2999,0.105559,False,True,True,False,-1,50.00%,Medium,INCORRECT,Isolated from other POIs; Spatial clustering outlier
83408,238623.0,,797698.0,S,8.0,SINGAPORE,SINGAPORE,,990722311.0,990722311.0,1.39221,103.87591,1.39221,103.87579,10,FERNVALE-LRT,FERNVALE RD,FERNVALE RD,N,5819,0.00411,103.8799,1.39216,True,103.87579,1.39221,0.003625,0.00065,2999,0.060143,False,True,False,True,5,45.00%,Medium,INCORRECT,Isolated from other POIs
40842,249576.0,,768302.0,S,8.0,SINGAPORE,SINGAPORE,,762719842.0,762719842.0,1.41719,103.84656,1.41814,103.84705,232,THE SHAUGHNESSY,MILTONIA CLOS,MILTONIA CLOS,N,497,7.1e-05,103.847,1.41809,True,103.84705,1.41814,0.000397,0.002712,2999,0.079554,True,True,False,False,18,60.00%,Medium,INCORRECT,Far from streets
104904,170885.0,,599556.0,S,9.0,SINGAPORE,SINGAPORE,,895606058.0,895605709.0,1.32307,103.77339,1.32293,103.77359,42,CLEMENTI GREEN,CLEMENTI CRES,CLEMENTI CRES,N,796,0.001036,103.7737,1.32396,True,103.77359,1.32293,0.004194,0.000389,2999,0.076559,False,True,False,True,0,45.00%,Medium,INCORRECT,Isolated from other POIs
52615,135539.0,,637769.0,S,8.0,SINGAPORE,SINGAPORE,,897330045.0,897330045.0,1.30149,103.62899,1.30127,103.6287,44,HS (2ND LINK) INDUSTRIAL BUILDING,TUAS VIEW SQ,TUAS VIEW SQ,N,2270,0.001374,103.6282,1.29999,True,103.6287,1.30127,0.00199,6.3e-05,2999,0.222975,True,True,False,False,19,45.00%,Medium,INCORRECT,Normal spatial pattern
