OBJECTID,CUSTOMER_I,POSTAL_ARE,FULL_POSTA,REC_TYPE,GEO_LEVEL,NT_CITY,COUNTY,STATE,DISPLAY_LI,ROUTING_LI,DISPLAY_LA,DISPLAY_LO,ROUTING_LA,ROUTING_LO,HOUSE_NUMB,BUILDING_N,STREET_NAM,TMO_STREET,HDB,NEAR_FID,NEAR_DIST,NEAR_X,NEAR_Y,is_outlier,Longitude,Latitude,Distance to Nearest POI (m),Distance to Nearest Street (m),Number of POIs within 500m,Distance to Area Centroid (m),z_score_outlier,iqr_outlier,dbscan_outlier,lof_outlier,cluster,Anomaly Score (%),Confidence in Classification,POI Classification,Reasons for Classification
79637,227245.0,,550142.0,S,8.0,SINGAPORE,SINGAPORE,,940416203.0,940416203.0,1.36749,103.87395,1.36748,103.87384,142,,SERANGOON NORTH AVE 1,SERANGOON NORTH AVE 1,Y,5565,0.001188,103.873,1.36832,False,103.87384,1.36748,0.001649,0.000398,2999,0.038402,False,False,False,False,0,0.00%,Low,CORRECT,Normal spatial pattern
67655,169276.0,,466932.0,S,8.0,SINGAPORE,SINGAPORE,,926292151.0,926292151.0,1.31629,103.93674,1.3166,103.9367,39,EAST COAST HILL,SENNETT LN,SENNETT LN,N,1511,0.001159,103.9376,1.31733,False,103.9367,1.3166,9.1e-05,0.000377,2999,0.090875,False,False,False,False,0,0.00%,Low,CORRECT,Normal spatial pattern
113324,248434.0,,763101.0,S,9.0,SINGAPORE,SINGAPORE,,932136522.0,932136522.0,1.43155,103.82797,1.43105,103.82798,101C,,YISHUN AVE 5,YISHUN AVE 5,Y,5754,0.001486,103.829,1.43213,False,103.82798,1.43105,0.001513,0.000863,2999,0.094706,False,False,False,False,1,0.00%,Low,CORRECT,Normal spatial pattern
18399,194701.0,,534875.0,S,8.0,SINGAPORE,SINGAPORE,,116141852.0,116141852.0,1.34035,103.88477,1.34043,103.88489,199,,UPP PAYA LEBAR RD,UPP PAYA LEBAR RD,N,1053,0.002394,103.8841,1.33817,False,103.88489,1.34043,0.000637,0.000136,2999,0.036408,False,False,False,False,0,0.00%,Low,CORRECT,Normal spatial pattern
85778,149331.0,,425840.0,S,9.0,SINGAPORE,SINGAPORE,,116132933.0,116132934.0,1.31308,103.90879,1.3132,103.90903,48D,,LOR J TELOK KURAU,LOR J TELOK KURAU,N,5384,0.000646,103.9094,1.31267,False,103.90903,1.3132,0.00044,0.0,2999,0.065617,False,False,False,False,0,0.00%,Low,CORRECT,Normal spatial pattern
120195,213955.0,,520907.0,S,9.0,SINGAPORE,SINGAPORE,,1040725286.0,1040725285.0,1.35061,103.93938,1.35059,103.9389,907,,TAMPINES AVE 4,TAMPINES AVE 4,Y,4647,0.002425,103.94006,1.35272,False,103.9389,1.35059,0.001877,0.000452,2999,0.091164,False,False,False,False,2,0.00%,Low,CORRECT,Normal spatial pattern
45554,148807.0,,338760.0,S,8.0,SINGAPORE,SINGAPORE,,845355170.0,845355170.0,1.31305,103.86134,1.31295,103.86118,198,,LAVENDER ST,LAVENDER ST,N,3111,0.001096,103.8602,1.31246,False,103.86118,1.31295,0.000675,0.000943,2999,0.028601,False,False,False,False,0,0.00%,Low,CORRECT,Normal spatial pattern
76403,177940.0,,408576.0,S,8.0,SINGAPORE,SINGAPORE,,940042376.0,940042376.0,1.32701,103.89448,1.32681,103.89452,17,TRIPLE ELECTRONIC,UBI CRES,UBI CRES,N,844,0.001326,103.8934,1.3261,True,103.89452,1.32681,0.003902,0.000354,2999,0.047479,False,True,False,True,0,45.00%,Medium,INCORRECT,Isolated from other POIs
2624,213619.0,,648729.0,S,8.0,SINGAPORE,SINGAPORE,,116131545.0,116131545.0,1.35156,103.69973,1.35151,103.69973,1,WESTWOOD PARK,WESTWOOD CRES,WESTWOOD CRES,N,489,0.002536,103.6972,1.35134,False,103.69973,1.35151,0.000801,0.000691,2999,0.149357,False,False,False,False,3,0.00%,Low,CORRECT,Normal spatial pattern
93115,178718.0,,288472.0,S,9.0,SINGAPORE,SINGAPORE,,116156070.0,116141382.0,1.32788,103.80999,1.32771,103.80996,74,WATTEN ESTATE,SHELFORD RD,SHELFORD RD,N,1549,0.000975,103.8091,1.32817,False,103.80996,1.32771,0.001344,0.000815,2999,0.040076,False,False,False,False,0,0.00%,Low,CORRECT,Normal spatial pattern
54108,161116.0,,258908.0,S,8.0,SINGAPORE,SINGAPORE,,901337476.0,901337476.0,1.31416,103.83426,1.31378,103.83424,9,,GOODWOOD HL,GOODWOOD HL,N,2800,0.002259,103.8324,1.31509,False,103.83424,1.31378,0.000817,0.001679,2999,0.028639,False,False,False,False,0,0.00%,Low,CORRECT,Far from streets
28348,193285.0,,618406.0,S,8.0,SINGAPORE,SINGAPORE,,116150141.0,116150141.0,1.33968,103.71831,1.3397,103.71835,3,LAKESIDE GROVE,CORPORATION WALK,CORPORATION WALK,N,4857,0.004347,103.7217,1.33693,False,103.71835,1.3397,0.000391,0.001526,2999,0.130183,False,False,False,False,4,0.00%,Low,CORRECT,Normal spatial pattern
39717,230065.0,,805847.0,S,8.0,SINGAPORE,SINGAPORE,,754539588.0,754539588.0,1.38346,103.87283,1.38351,103.87268,67,KELULUT HILL,KELULUT HL,KELULUT HL,N,1842,0.00371,103.8695,1.3816,False,103.87268,1.38351,0.000557,0.000774,2999,0.050992,False,False,False,False,5,0.00%,Low,CORRECT,Normal spatial pattern
76762,228092.0,,549822.0,S,8.0,SINGAPORE,SINGAPORE,,940104578.0,940104578.0,1.36422,103.87542,1.36417,103.87543,15,NANYANG PARK,CHUAN HOE AVE,CHUAN HOE AVE,N,5539,0.000907,103.8762,1.36369,False,103.87543,1.36417,0.000446,0.00121,2999,0.037115,False,False,False,False,0,0.00%,Low,CORRECT,Normal spatial pattern
109486,216705.0,,510161.0,S,9.0,SINGAPORE,SINGAPORE,,916351778.0,718127772.0,1.36362,103.9619,1.36384,103.96165,161,,PASIR RIS ST 13,PASIR RIS ST 13,Y,874,0.003858,103.9641,1.36086,False,103.96165,1.36384,0.003368,0.000629,2999,0.115903,False,True,False,False,6,20.00%,Low,CORRECT,Normal spatial pattern
122715,148416.0,,389398.0,S,0.0,SINGAPORE,SINGAPORE,,833639281.0,833639281.0,1.31299,103.8817,1.31299,103.88172,435B,,GEYLANG RD,GEYLANG RD,N,4968,0.000886,103.8813,1.31221,False,103.88172,1.31299,0.000175,0.000637,2999,0.041923,False,False,False,False,0,0.00%,Low,CORRECT,Normal spatial pattern
34819,153865.0,,458974.0,S,8.0,SINGAPORE,SINGAPORE,,116161918.0,116161918.0,1.31029,103.91879,1.31047,103.91876,548,SEASIDE PARK,EAST COAST RD,EAST COAST RD,N,993,0.001184,103.91858,1.31164,False,103.91876,1.31047,0.000318,0.000373,2999,0.075656,False,False,False,False,0,0.00%,Low,CORRECT,Normal spatial pattern
